;MACEIO;ARACAJU;RECIFE;JOÃO PESSOA;SALVADOR
01/12/2015;0;0;6.346;0;4.842
01/01/2016;0;0;6.325;0;4.810
01/02/2016;0;0;6.311;0;4.788
01/03/2016;0;0;6.285;0;4.794
01/04/2016;0;0;6.281;0;4.816
01/05/2016;0;0;6.276;0;4.845
01/06/2016;0;0;6.262;0;4.868
01/07/2016;0;0;6.259;0;4.882
01/08/2016;0;0;6.265;0;4.886
01/09/2016;0;0;6.298;0;4.905
01/10/2016;0;0;6.334;0;4.919
01/11/2016;0;0;6.371;0;4.947
01/12/2016;0;0;6.397;0;4.961
01/01/2017;0;0;6.347;0;4.964
01/02/2017;0;0;6.327;0;4.981
01/03/2017;0;0;6.286;0;4.987
01/04/2017;0;0;6.268;0;4.985
01/05/2017;0;0;6.227;0;4.976
01/06/2017;0;0;6.222;0;4.959
01/07/2017;0;0;6.245;0;4.936
01/08/2017;0;0;6.273;0;4.929
01/09/2017;0;0;6.298;0;4.933
01/10/2017;0;0;6.297;0;4.932
01/11/2017;0;0;6.322;0;4.928
01/12/2017;0;0;6.316;0;4.921
01/01/2018;5.178;0;6.350;4.495;4.928
01/02/2018;5.179;0;6.344;4.446;4.935
01/03/2018;5.161;0;6.358;4.410;4.944
01/04/2018;5.122;0;6.341;4.395;4.944
01/05/2018;5.119;0;6.343;4.437;4.922
01/06/2018;5.137;0;6.353;4.473;4.895
01/07/2018;5.156;0;6.348;4.477;4.879
01/08/2018;5.121;0;6.358;4.476;4.891
01/09/2018;5.076;0;6.346;4.465;4.915
01/10/2018;5.046;0;6.352;4.517;4.933
01/11/2018;5.010;0;6.330;4.564;4.937
01/12/2018;4.965;0;6.325;4.579;4.941
01/01/2019;4.902;0;6.306;4.520;4.938
01/02/2019;4.900;0;6.298;4.416;4.939
01/03/2019;4.904;0;6.271;4.343;4.941
01/04/2019;4.959;0;6.262;4.308;4.921
01/05/2019;4.996;0;6.234;4.323;4.890
01/06/2019;5.060;0;6.237;4.327;4.870
01/07/2019;5.110;0;6.228;4.335;4.880
01/08/2019;5.138;0;6.223;4.345;4.910
01/09/2019;5.124;0;6.211;4.342;4.932
01/10/2019;5.081;0;6.196;4.371;4.953
01/11/2019;5.036;0;6.203;4.374;4.990
01/12/2019;4.992;0;6.228;4.375;4.995
01/01/2020;5.009;0;6.228;4.375;5.003
01/02/2020;5.040;0;6.208;4.373;5.007
01/03/2020;5.057;0;6.174;4.365;5.016
01/04/2020;5.078;0;6.161;4.351;5.025
01/05/2020;5.068;0;6.070;4.344;5.040
01/06/2020;5.098;0;5.986;4.358;5.044
01/07/2020;5.120;0;5.883;4.380;5.056
01/08/2020;5.169;0;5.923;4.404;5.063
01/09/2020;5.203;0;5.994;4.438;5.098
01/10/2020;5.234;0;6.094;4.478;5.119
01/11/2020;5.288;0;6.168;4.520;5.156
01/12/2020;5.386;0;6.204;4.563;5.175
01/01/2021;5.484;0;6.210;4.596;5.178
01/02/2021;5.565;0;6.206;4.634;5.160
01/03/2021;5.642;0;6.207;4.662;5.166
01/04/2021;5.726;0;6.225;4.704;5.199
01/05/2021;5.779;0;6.259;4.731;5.244
01/06/2021;5.825;0;6.293;4.746;5.265
01/07/2021;5.868;0;6.330;4.761;5.261
01/08/2021;5.972;0;6.354;4.782;5.250
01/09/2021;6.051;0;6.375;4.820;5.250
01/10/2021;6.147;0;6.400;4.861;5.252
01/11/2021;6.247;0;6.438;4.904;5.246
01/12/2021;6.383;0;6.465;4.948;5.256
01/01/2022;6.488;4.021;6.484;4.984;5.282
01/02/2022;6.563;4.080;6.506;5.039;5.329
01/03/2022;6.620;4.162;6.532;5.085;5.373
01/04/2022;6.614;4.307;6.614;5.160;5.403
01/05/2022;6.626;4.462;6.697;5.235;5.429
01/06/2022;6.673;4.601;6.789;5.286;5.471
01/07/2022;6.767;4.626;6.823;5.341;5.535
01/08/2022;6.836;4.593;6.850;5.338;5.581
01/09/2022;6.919;4.543;6.906;5.373;5.606
01/10/2022;7.009;4.460;6.997;5.392;5.601
01/11/2022;7.135;4.347;7.120;5.439;5.597
01/12/2022;7.227;4.288;7.199;5.455;5.571
01/01/2023;7.306;4.229;7.236;5.517;5.597
01/02/2023;7.381;4.167;7.234;5.586;5.650
01/03/2023;7.476;4.130;7.276;5.662;5.718
01/04/2023;7.594;4.203;7.338;5.698;5.766
01/05/2023;7.720;4.365;7.407;5.741;5.785
01/06/2023;7.843;4.478;7.454;5.737;5.824
01/07/2023;7.951;4.484;7.476;5.735;5.868
01/08/2023;8.038;4.496;7.488;5.732;5.903
01/09/2023;8.138;4.505;7.469;5.800;5.924
01/10/2023;8.245;4.545;7.481;5.875;5.924
01/11/2023;8.342;4.543;7.510;5.940;5.912
01/12/2023;8.383;4.541;7.573;5.991;5.892
01/01/2024;8.427;4.540;7.615;6.036;5.906
01/02/2024;8.505;4.534;7.694;6.141;5.974
01/03/2024;8.581;4.533;7.794;6.201;6.049
01/04/2024;8.701;4.547;7.891;6.296;6.092
01/05/2024;8.812;4.589;7.938;6.354;6.164
01/06/2024;8.912;4.665;7.935;6.452;6.259
01/07/2024;8.908;4.720;7.964;6.537;6.411
01/08/2024;8.888;4.788;7.984;6.656;6.544
01/09/2024;8.889;4.889;8.029;6.786;6.653
01/10/2024;8.983;5.003;8.061;6.864;6.728
01/11/2024;9.118;5.120;8.069;6.899;6.766
01/12/2024;9.263;5.167;8.076;6.922;6.857
01/01/2025;9.342;5.155;8.062;7.030;6.970
01/02/2025;9.379;5.112;8.082;7.183;7.116
01/03/2025;9.339;5.119;8.095;7.342;7.236
01/04/2025;9.307;5.170;8.112;7.445;7.349
01/05/2025;9.315;5.170;8.157;7.497;7.449
